Temperature (C),Humidity,Wind Speed (km/h)
9.47222222222222,0.89,14.1197
9.355555555555558,0.86,14.2646
9.377777777777778,0.89,3.9284
8.28888888888889,0.83,14.1036
8.755555555555553,0.83,11.0446
9.22222222222222,0.85,13.9587
7.733333333333334,0.95,12.3648
8.77222222222222,0.89,14.1519
10.82222222222222,0.82,11.3183
13.77222222222222,0.72,12.525800000000002
16.016666666666666,0.67,17.5651
17.144444444444446,0.54,19.7869
17.800000000000004,0.55,21.9443
17.333333333333332,0.51,20.6885
18.87777777777778,0.47,15.375500000000002
18.911111111111115,0.46,10.4006
15.38888888888889,0.6,14.4095
15.550000000000002,0.63,11.1573
14.255555555555553,0.69,8.5169
13.144444444444442,0.7,7.631400000000001
11.55,0.77,7.3899
11.183333333333334,0.76,4.9266000000000005
10.116666666666667,0.79,6.6493
10.2,0.77,3.9284
10.42222222222222,0.62,16.985500000000002
9.911111111111111,0.66,17.2109
11.183333333333334,0.8,10.8192
7.155555555555556,0.79,11.0768
6.111111111111111,0.82,6.6493
6.788888888888888,0.83,13.0088
7.26111111111111,0.85,11.1734
7.799999999999999,0.83,12.8156
9.872222222222224,0.78,13.7494
12.22222222222222,0.72,15.633100000000002
15.094444444444449,0.61,17.549000000000003
17.355555555555558,0.52,22.7815
19.00555555555555,0.46,23.8924
20.04444444444444,0.4,28.3682
21.05,0.4,26.9031
21.18333333333333,0.37,25.6956
20.11666666666666,0.4,25.309200000000004
20.216666666666665,0.36,18.1125
20.0,0.43,23.425500000000003
17.800000000000004,0.5,20.0445
16.06111111111111,0.53,21.3969
15.02222222222222,0.55,21.3808
14.422222222222224,0.58,20.0123
14.255555555555553,0.59,16.5025
13.77222222222222,0.6,17.0982
13.283333333333331,0.63,14.3612
8.633333333333333,0.87,22.0409
11.25,0.83,11.3344
11.183333333333334,0.89,11.2056
10.694444444444445,0.95,10.4006
11.11111111111111,0.93,12.0106
11.11111111111111,0.93,9.2092
12.166666666666666,0.82,9.9015
12.755555555555556,0.79,13.8299
13.838888888888889,0.84,9.0965
16.183333333333334,0.73,0.6440000000000001
